Time,HV Battery SOC (%),HV Battery Power (kW),HV Battery Current (A),G-Force (1),Vehicle Speed (km/hr) (km/hr)
00:01:05.0118,69.6697281949637,-7.14336409212265,-21.009894388596,-0.0388503498638058,56.8486302364613
00:01:05.0236,69.669767282055,-7.16337079836703,-21.068737642256,-0.0389089673198571,56.832425620153
00:01:05.0354,69.66980649041,-7.18898888410107,-21.1440849532385,-0.0389833378142255,56.8161940095595
00:01:05.0502,69.6698558538948,-7.21841787980254,-21.2306408229486,-0.0390691285923638,56.7957934586883
00:01:05.0698,69.6699215728097,-7.24132712738732,-21.2980209629039,-0.0391378594711291,56.768675864422
00:01:05.0940,69.6700025911143,-7.24212366011526,-21.3003637062214,-0.0391457383198497,56.7352646959992
00:01:05.1181,69.6700835232108,-7.22361640378832,-21.2459305993774,-0.0390994780939456,56.7018671653268
00:01:05.1423,69.6701642548399,-7.20253124184181,-21.1839154171818,-0.0390459327055086,56.6685077318934
00:01:05.1665,69.6702448160658,-7.19079836422005,-21.1494069535884,-0.0390185984377042,56.6351799856374
00:01:05.1973,69.6703474680928,-7.19111484733732,-21.1503377862862,-0.0390266534272902,56.5926915893487
00:01:05.2358,69.6704757304605,-7.19911347372153,-21.1738631580045,-0.0390581540696747,56.5396034979492
00:01:05.2743,69.6706040550648,-7.2014457761143,-21.1807228709244,-0.0390737911987383,56.4864897570532
00:01:05.3128,69.6707323400407,-7.19522373413773,-21.1624227474639,-0.0390653726520782,56.4333721845236
00:01:05.3725,69.6709310501143,-7.18425804593157,-21.1301707233281,-0.0390486205678935,56.3510263650902
00:01:05.4322,69.6711295597768,-7.1787068970094,-21.1138438147335,-0.039047195684749,56.2686937145246
00:01:05.5000,69.6713546071938,-7.17530713037921,-21.1038445011153,-0.0390538666617307,56.1752884383614
00:01:05.5181,69.6714148997927,-7.18810848817558,-21.1414955534576,-0.0390945294541249,56.1502667669735
00:01:05.5331,69.6714649338537,-7.20809436278856,-21.2002775376134,-0.0391548476461379,56.1295223606724
00:01:05.5481,69.6715151034657,-7.22884683756367,-21.2613142281284,-0.0392173996309257,56.1087466829339
00:01:05.5703,69.6715895794323,-7.24717266943606,-21.3152137336355,-0.0392749320146085,56.077939091443
00:01:05.5974,69.6716803420001,-7.24693765304818,-21.3145225089652,-0.0392810517291042,56.040408184898
00:01:05.6245,69.6717710183453,-7.23141844125564,-21.2688777683989,-0.0392437553083044,56.0028894894116
00:01:05.6515,69.6718615168869,-7.21524156234731,-21.2212987127862,-0.0392045473276087,55.9654028605128
00:01:05.6786,69.6719518784978,-7.20770512204162,-21.1991327118871,-0.0391898844975171,55.9279394516498
00:01:05.7161,69.6720771131644,-7.20928404608379,-21.2037766061288,-0.0392038057125756,55.8759979415634
00:01:05.7536,69.6722023755377,-7.21340680612356,-21.2159023709516,-0.0392250379115371,55.824037868254
00:01:05.7990,69.6723538249424,-7.21102527630023,-21.2088978714713,-0.0392297771151084,55.7611975544069
00:01:05.8589,69.6725537190443,-7.20134104155057,-21.1804148280899,-0.0392174231337395,55.6781950049826
00:01:05.9188,69.6727533996511,-7.19352368121475,-21.1574225918081,-0.0392104450726639,55.5952065431887
00:01:06.0000,69.6730234729627,-7.18749505945314,-21.1396913513328,-0.0392141440986662,55.4828615220423
00:01:06.0550,69.6732069779448,-7.21198142765749,-21.2117100813456,-0.0392988649518206,55.4065504457198
00:01:06.0836,69.6733024519552,-7.22398731556818,-21.247021516377,-0.0393409494221341,55.3668745935706
00:01:06.1121,69.6733979878769,-7.2231640640298,-21.2446001883229,-0.0393461966760813,55.3271775107489
00:01:06.1507,69.6735269131073,-7.21021025118892,-21.2065007387909,-0.0393192069184448,55.2735706234585
00:01:06.1893,69.6736556473771,-7.19840481377495,-21.171778864044,-0.0392954995559745,55.2199916537151
00:01:06.2279,69.6737842583487,-7.194819587942,-21.1612340821824,-0.0392954986642602,55.1664257124259
00:01:06.2865,69.6739793610019,-7.19457391022819,-21.1605115006711,-0.0393105733431127,55.0851276499573
00:01:06.3451,69.6741743761606,-7.19074828834224,-21.1492596715948,-0.0393154002358517,55.0038161135118
00:01:06.4196,69.6744225208473,-7.18120989828785,-21.1212055831995,-0.0393081324117844,54.9002580788211
00:01:06.5000,69.6746893375845,-7.17230109674231,-21.0950032257127,-0.0393043505109495,54.7887853161722
00:01:06.6000,69.6750214696077,-7.17328558839338,-21.0978987893923,-0.0393350126264725,54.6499109213269
00:01:06.6999,69.675353323993,-7.16470510603399,-21.0726620765706,-0.0393380921463138,54.5109995380698
00:01:06.7999,69.6756846831679,-7.15122664308346,-21.0330195384808,-0.0393270346093159,54.3720988726701
00:01:06.8999,69.6760155432735,-7.14117443920252,-21.0034542329486,-0.0393261807395467,54.2332090743561
00:01:07.0000,69.6763459577016,-7.13233054447131,-20.9774427778568,-0.039329080869598,54.0943174925395
00:01:07.1000,69.676675379553,-7.10282331974497,-20.8906568227793,-0.0392711506570891,53.9555466840663
00:01:07.1609,69.6768757403232,-7.09369548909076,-20.8638102620316,-0.0392619780205267,53.8710041632753
00:01:07.2219,69.6770759641274,-7.09333348420264,-20.8627455417725,-0.0392788197429714,53.7864540355942
00:01:07.2828,69.6772760945578,-7.08988257667571,-20.8525958137521,-0.0392866280182375,53.701886291288
00:01:07.3604,69.6775305859527,-7.07990647868576,-20.8232543490758,-0.0392801082112498,53.5942414581348
00:01:07.4604,69.6778580951434,-7.06841175663408,-20.7894463430414,-0.0392759003871802,53.4555267886887
00:01:07.5000,69.6779874108783,-7.06485768425595,-20.7789931889881,-0.0392772381110721,53.400700046739
00:01:07.5310,69.6780887286202,-7.04258041432789,-20.7134718068467,-0.0392200984728301,53.3576897228113
00:01:07.5538,69.6781629107536,-7.01983698824993,-20.6465793772057,-0.0391590035457228,53.3261485808073
00:01:07.5766,69.678236904533,-7.00419510360803,-20.6005738341413,-0.0391190747440951,53.2946448677506
00:01:07.6057,69.6783312312814,-7.0003130858201,-20.589156134765,-0.0391161797240067,53.2544525914436
00:01:07.6426,69.6784509424231,-7.00778106459364,-20.6111207782166,-0.03914965287332,53.20343591061
00:01:07.6795,69.6785707296319,-7.01290484744889,-20.6261907277908,-0.0391761979230317,53.1523873013798
00:01:07.7164,69.6786905117364,-7.00867772342376,-20.6137580100699,-0.0391747586025984,53.1013252561367
00:01:07.7721,69.6788709828953,-6.99669341378974,-20.5785100405581,-0.039155770355011,53.0243247484036
00:01:07.8277,69.6790512322105,-6.98881149366207,-20.5553279225355,-0.0391491329005144,52.9473416089391
00:01:07.8956,69.6792707784796,-6.9845173075055,-20.5426979632515,-0.0391571255560167,52.853492813671
00:01:07.9894,69.6795738566327,-6.97631058906591,-20.5185605560762,-0.0391614992424688,52.7237936010865
00:01:08.0000,69.6796079689121,-6.97511271663814,-20.5150374018769,-0.0391611768872223,52.7091850273336
00:01:08.0150,69.6796565103101,-6.96223654046059,-20.4771662954723,-0.039126923269946,52.6883839415523
00:01:08.0300,69.679704923722,-6.93829346092257,-20.4067454733017,-0.0390591456030161,52.6676099066699
00:01:08.0451,69.6797531676038,-6.91166418786432,-20.3284240819539,-0.0389831811744509,52.6468725370698
00:01:08.0639,69.6798131716899,-6.887038834805,-20.2559965729559,-0.0389143689828799,52.6210342835922
00:01:08.0872,69.6798874593546,-6.87623607288266,-20.2242237437725,-0.038888762014522,52.5890044730704
00:01:08.1193,69.679989836548,-6.88513126007128,-20.2503860590332,-0.0389255819682773,52.5448526841512
00:01:08.1514,69.6800923532372,-6.89968546462408,-20.293192543012,-0.0389796791085905,52.5006573717868
00:01:08.1836,69.6801949774288,-6.90321940918657,-20.3035864976076,-0.0390004107467766,52.4564258669479
00:01:08.2157,69.6802975673771,-6.89492202318978,-20.2791824211464,-0.038985213468416,52.4121909635681
00:01:08.2576,69.6804311478482,-6.88166303668573,-20.2401854020168,-0.0389579531914015,52.3545387413988
00:01:08.2995,69.6805645604566,-6.87516103625551,-20.2210618713397,-0.038951259102583,52.2969061198613
00:01:08.3527,69.680733921118,-6.87388866933112,-20.2173196156798,-0.0389641126896163,52.223697407666
00:01:08.4180,69.6809416674554,-6.87008182342701,-20.2061230100795,-0.0389731519403204,52.1338311847223
00:01:08.5000,69.6812021687682,-6.86000099534678,-20.1764735157258,-0.0389684116613016,52.0210207117224
00:01:08.5118,69.6812399140194,-6.84829739918811,-20.1420511740827,-0.0389363335683084,52.0046565653157
00:01:08.5237,69.6812775617957,-6.8250709883854,-20.0737382011335,-0.0388688958744711,51.9883136235366
00:01:08.5356,69.6813150697517,-6.7962158429692,-19.98887012638,-0.0387841490941462,51.9720018083356
00:01:08.5501,69.6813604350012,-6.76399115095751,-19.8940916204633,-0.0386898076128848,51.9522308916236
00:01:08.5690,69.6814195062147,-6.73749595071078,-19.8161645609141,-0.0386143564891933,51.9264337478662
00:01:08.5922,69.6814919065595,-6.73146442415799,-19.7984247769353,-0.0386030155831473,51.8947773057806
00:01:08.6154,69.6815643345264,-6.74474249108415,-19.8374779149534,-0.0386510221180987,51.8631084731531
00:01:08.6386,69.6816369054928,-6.76162780027501,-19.8871405890441,-0.0387102057835782,51.8314001695899
00:01:08.6618,69.6817096006641,-6.7702304673134,-19.9124425509218,-0.0387439936387,51.7996567511293
00:01:08.6909,69.6818005508653,-6.76605039184162,-19.9001482112989,-0.0387403147269408,51.7599380324276
